track_id,cls,t,x,y,z,w,l,h,vx,vy,theta,conf
1,0,0.00,-0.013,0.026,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,0.50,2.989,-0.016,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,1.00,5.953,-0.011,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,1.50,9.056,0.021,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,2.00,12.052,0.012,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,2.50,15.020,0.009,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,3.00,17.917,0.043,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,3.50,21.025,0.025,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,4.00,23.915,-0.087,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
1,0,4.50,26.956,-0.023,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.85
2,0,7.00,42.015,-0.002,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,7.50,45.026,-0.032,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,8.00,48.015,0.020,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,8.50,50.967,0.086,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,9.00,54.028,0.060,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,9.50,56.969,-0.037,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,10.00,59.983,-0.005,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,10.50,63.032,0.012,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,11.00,65.978,-0.048,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
2,0,11.50,68.974,0.061,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.80
3,0,0.00,19.960,12.012,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,0.50,20.021,9.926,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,1.00,20.002,8.065,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,1.50,19.899,5.984,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,2.00,19.995,3.959,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,2.50,20.025,1.997,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,3.00,19.927,0.041,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,3.50,20.033,-1.953,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,4.00,20.072,-3.982,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,4.50,20.006,-6.065,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,5.00,20.031,-8.031,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,5.50,19.977,-10.063,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,6.00,19.952,-12.027,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,6.50,20.064,-14.102,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,7.00,19.927,-15.988,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,7.50,20.072,-17.971,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,8.00,19.905,-20.126,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,8.50,20.018,-22.037,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,9.00,19.944,-23.951,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,9.50,20.055,-25.992,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,10.00,20.012,-27.978,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,10.50,20.080,-29.969,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,11.00,20.026,-31.973,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
3,0,11.50,19.922,-33.936,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.90
99,0,2.50,55.000,55.000,0.75,2.0,4.5,1.5,0.00,0.00,0.0000,0.10
