track_id,cls,t,x,y,z,w,l,h,vx,vy,theta,conf
7,0,0.00,0.051,0.068,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,0.50,3.192,0.009,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,1.00,6.141,0.151,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,1.50,9.084,0.181,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,2.00,12.178,0.092,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,2.50,15.166,0.132,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,3.00,18.156,0.157,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,3.50,21.117,0.079,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,4.00,24.202,0.101,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,4.50,27.106,0.147,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,5.00,30.223,0.078,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,5.50,33.081,0.093,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,6.00,36.143,0.085,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,6.50,39.220,0.049,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,7.00,42.213,0.037,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,7.50,45.111,0.132,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,8.00,48.206,0.143,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,8.50,51.167,0.107,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,9.00,54.158,0.129,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,9.50,57.141,0.114,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,10.00,60.179,0.100,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,10.50,63.188,0.128,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,11.00,66.251,0.116,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
7,0,11.50,69.129,0.081,0.75,2.0,4.5,1.5,6.00,0.00,0.0000,0.75
8,0,0.00,20.099,12.096,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,0.50,20.083,10.069,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,1.00,20.192,7.922,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,1.50,20.044,6.062,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,2.00,20.120,4.062,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,2.50,20.078,2.083,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,3.00,20.114,0.024,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,3.50,20.222,-1.932,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,4.00,20.072,-3.955,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,4.50,20.089,-5.953,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,5.00,19.964,-7.974,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,5.50,20.150,-10.008,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,6.00,20.097,-11.902,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,6.50,20.143,-13.875,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,7.00,20.015,-15.968,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,7.50,20.083,-17.919,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,8.00,20.155,-20.084,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,8.50,20.154,-22.022,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,9.00,20.134,-24.025,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,9.50,20.109,-25.890,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,10.00,20.093,-27.940,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,10.50,20.140,-29.943,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,11.00,20.096,-31.873,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
8,0,11.50,20.152,-33.965,0.75,2.0,4.5,1.5,0.00,-4.00,-1.5708,0.85
42,0,5.50,-30.000,-30.000,0.75,2.0,4.5,1.5,0.00,0.00,0.0000,0.15
42,0,6.00,-30.000,-30.000,0.75,2.0,4.5,1.5,0.00,0.00,0.0000,0.15
